"","Sample","Cattle_ID","Life_stage","Sex","Predeliction","A..variegatum","A..coharenses","B..annulatus","B..decoloratus","B..geigyi","H..laechi","R..gulhoni","R..lunulatus","R..muhsame","R..sanguineus","R..senegalensis","R..gemma","Boophilus.sp.","R..quilhoni","A.gemma","R.fanguineus"
"207","S1",9,"Nymph","Female","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","S1",9,"Nymph","Female","Tail",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"209","S1",9,"Nymph","Female","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210","S1",9,"Nymph","Female","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211","S1",9,"Nymph","Male","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212","S1",9,"Nymph","Male","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213","S1",9,"Nymph","Male","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214","S1",9,"Nymph","Male","Tail",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215","S1",9,"Nymph","Male","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216","S1",9,"Nymph","Male","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217","S1",10,"Adult","Female","Leg",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"218","S1",10,"Adult","Female","Belly",0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0
"219","S1",10,"Adult","Female","Head",0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
"220","S1",10,"Adult","Female","Tail",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221","S1",10,"Adult","Female","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222","S1",10,"Adult","Female","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223","S1",10,"Adult","Male","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224","S1",10,"Adult","Male","Belly",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"225","S1",10,"Adult","Male","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226","S1",10,"Adult","Male","Tail",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227","S1",10,"Adult","Male","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"228","S1",10,"Adult","Male","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
